Gene,Gene Name,log_2 fold change
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000111445"" target=""_blank"">ENSG00000111445</a>",RFC5,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000111261"" target=""_blank"">ENSG00000111261</a>",MANSC1,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000252594"" target=""_blank"">ENSG00000252594</a>",RNU6-656P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000252086"" target=""_blank"">ENSG00000252086</a>",RNA5SP76,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000198753"" target=""_blank"">ENSG00000198753</a>",PLXNB3,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200997"" target=""_blank"">ENSG00000200997</a>",RNVU1-34,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200097"" target=""_blank"">ENSG00000200097</a>",RNU6-1167P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000152926"" target=""_blank"">ENSG00000152926</a>",ZNF117,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000154803"" target=""_blank"">ENSG00000154803</a>",FLCN,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000202200"" target=""_blank"">ENSG00000202200</a>",Y_RNA,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000265386"" target=""_blank"">ENSG00000265386</a>",RN7SL219P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000064933"" target=""_blank"">ENSG00000064933</a>",PMS1,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000104435"" target=""_blank"">ENSG00000104435</a>",STMN2,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000078098"" target=""_blank"">ENSG00000078098</a>",FAP,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000089916"" target=""_blank"">ENSG00000089916</a>",GPATCH2L,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000201113"" target=""_blank"">ENSG00000201113</a>",RNU6-647P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000150054"" target=""_blank"">ENSG00000150054</a>",MPP7,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000266720"" target=""_blank"">ENSG00000266720</a>",RN7SL14P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162604"" target=""_blank"">ENSG00000162604</a>",TM2D1,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000160183"" target=""_blank"">ENSG00000160183</a>",TMPRSS3,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000253042"" target=""_blank"">ENSG00000253042</a>",SNORA70,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000189050"" target=""_blank"">ENSG00000189050</a>",RNFT1,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000225914"" target=""_blank"">ENSG00000225914</a>",TSBP1-AS1,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164125"" target=""_blank"">ENSG00000164125</a>",GASK1B,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000187223"" target=""_blank"">ENSG00000187223</a>",LCE2D,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000197860"" target=""_blank"">ENSG00000197860</a>",SGTB,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000113615"" target=""_blank"">ENSG00000113615</a>",SEC24A,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000114166"" target=""_blank"">ENSG00000114166</a>",KAT2B,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000125257"" target=""_blank"">ENSG00000125257</a>",ABCC4,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000111554"" target=""_blank"">ENSG00000111554</a>",MDM1,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000136960"" target=""_blank"">ENSG00000136960</a>",ENPP2,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000136783"" target=""_blank"">ENSG00000136783</a>",NIPSNAP3A,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000128791"" target=""_blank"">ENSG00000128791</a>",TWSG1,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166012"" target=""_blank"">ENSG00000166012</a>",TAF1D,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000185940"" target=""_blank"">ENSG00000185940</a>",KRTAP5-5,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000183044"" target=""_blank"">ENSG00000183044</a>",ABAT,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163291"" target=""_blank"">ENSG00000163291</a>",PAQR3,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000226094"" target=""_blank"">ENSG00000226094</a>",RPL7P3,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000188153"" target=""_blank"">ENSG00000188153</a>",COL4A5,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000188112"" target=""_blank"">ENSG00000188112</a>",C6orf132,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000188783"" target=""_blank"">ENSG00000188783</a>",PRELP,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169397"" target=""_blank"">ENSG00000169397</a>",RNASE3,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000132958"" target=""_blank"">ENSG00000132958</a>",TPTE2,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000223047"" target=""_blank"">ENSG00000223047</a>",RNU6-847P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169994"" target=""_blank"">ENSG00000169994</a>",MYO7B,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000177853"" target=""_blank"">ENSG00000177853</a>",ZNF518A,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000181733"" target=""_blank"">ENSG00000181733</a>",OR2Z1,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000180723"" target=""_blank"">ENSG00000180723</a>",OR51A9P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000181896"" target=""_blank"">ENSG00000181896</a>",ZNF101,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000171631"" target=""_blank"">ENSG00000171631</a>",P2RY6,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206987"" target=""_blank"">ENSG00000206987</a>",U8,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000005156"" target=""_blank"">ENSG00000005156</a>",LIG3,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000172673"" target=""_blank"">ENSG00000172673</a>",THEMIS,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000101888"" target=""_blank"">ENSG00000101888</a>",NXT2,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000267696"" target=""_blank"">ENSG00000267696</a>",ERVK-28,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000267065"" target=""_blank"">ENSG00000267065</a>",LINC02080,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000205864"" target=""_blank"">ENSG00000205864</a>",KRTAP5-6,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000205847"" target=""_blank"">ENSG00000205847</a>",OR7E91P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000261115"" target=""_blank"">ENSG00000261115</a>",TMEM178B,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000260357"" target=""_blank"">ENSG00000260357</a>",DNM1P34,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000014123"" target=""_blank"">ENSG00000014123</a>",UFL1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000267519"" target=""_blank"">ENSG00000267519</a>",MIR23AHG,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000123201"" target=""_blank"">ENSG00000123201</a>",GUCY1B2,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000004799"" target=""_blank"">ENSG00000004799</a>",PDK4,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000066557"" target=""_blank"">ENSG00000066557</a>",LRRC40,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206728"" target=""_blank"">ENSG00000206728</a>",Y_RNA,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000203581"" target=""_blank"">ENSG00000203581</a>",OR1F2P,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000177613"" target=""_blank"">ENSG00000177613</a>",CSTF2T,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000175946"" target=""_blank"">ENSG00000175946</a>",KLHL38,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000176290"" target=""_blank"">ENSG00000176290</a>",OR4K3,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000177133"" target=""_blank"">ENSG00000177133</a>",PRDM16-DT,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000222844"" target=""_blank"">ENSG00000222844</a>",RNU6-321P,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000174206"" target=""_blank"">ENSG00000174206</a>",KICS2,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168615"" target=""_blank"">ENSG00000168615</a>",ADAM9,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000182504"" target=""_blank"">ENSG00000182504</a>",CEP97,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000133114"" target=""_blank"">ENSG00000133114</a>",GPALPP1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000224854"" target=""_blank"">ENSG00000224854</a>",CDKN2A-AS1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000133962"" target=""_blank"">ENSG00000133962</a>",CATSPERB,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000154639"" target=""_blank"">ENSG00000154639</a>",CXADR,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000108599"" target=""_blank"">ENSG00000108599</a>",AKAP10,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000239333"" target=""_blank"">ENSG00000239333</a>",RN7SL658P,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000100934"" target=""_blank"">ENSG00000100934</a>",SEC23A,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200026"" target=""_blank"">ENSG00000200026</a>",U8,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000246263"" target=""_blank"">ENSG00000246263</a>",UBR5-DT,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000144909"" target=""_blank"">ENSG00000144909</a>",OSBPL11,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207702"" target=""_blank"">ENSG00000207702</a>",MIR211,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000143702"" target=""_blank"">ENSG00000143702</a>",CEP170,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207306"" target=""_blank"">ENSG00000207306</a>",RNU6-1152P,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207092"" target=""_blank"">ENSG00000207092</a>",Y_RNA,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000110700"" target=""_blank"">ENSG00000110700</a>",RPS13,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000198336"" target=""_blank"">ENSG00000198336</a>",MYL4,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000249910"" target=""_blank"">ENSG00000249910</a>",TRIM51CP,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000251781"" target=""_blank"">ENSG00000251781</a>",RNA5SP356,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000196123"" target=""_blank"">ENSG00000196123</a>",MATCAP1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000119711"" target=""_blank"">ENSG00000119711</a>",ALDH6A1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000252292"" target=""_blank"">ENSG00000252292</a>",RN7SKP238,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000198301"" target=""_blank"">ENSG00000198301</a>",SDAD1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000167767"" target=""_blank"">ENSG00000167767</a>",KRT80,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000197532"" target=""_blank"">ENSG00000197532</a>",OR6Y1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000231924"" target=""_blank"">ENSG00000231924</a>",PSG1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163634"" target=""_blank"">ENSG00000163634</a>",THOC7,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000187173"" target=""_blank"">ENSG00000187173</a>",LCE2A,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000198252"" target=""_blank"">ENSG00000198252</a>",STYX,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000134769"" target=""_blank"">ENSG00000134769</a>",DTNA,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165669"" target=""_blank"">ENSG00000165669</a>",FAM204A,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000184160"" target=""_blank"">ENSG00000184160</a>",ADRA2C,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000137269"" target=""_blank"">ENSG00000137269</a>",LRRC1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000124900"" target=""_blank"">ENSG00000124900</a>",TRIM51,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166432"" target=""_blank"">ENSG00000166432</a>",ZMAT1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000136002"" target=""_blank"">ENSG00000136002</a>",ARHGEF4,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000113597"" target=""_blank"">ENSG00000113597</a>",TRAPPC13,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000115084"" target=""_blank"">ENSG00000115084</a>",SLC35F5,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000115009"" target=""_blank"">ENSG00000115009</a>",CCL20,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000117620"" target=""_blank"">ENSG00000117620</a>",SLC35A3,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000186472"" target=""_blank"">ENSG00000186472</a>",PCLO,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200526"" target=""_blank"">ENSG00000200526</a>",RNY4P14,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000202241"" target=""_blank"">ENSG00000202241</a>",RN7SKP186,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000148136"" target=""_blank"">ENSG00000148136</a>",OR13C4,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000052723"" target=""_blank"">ENSG00000052723</a>",SIKE1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000263740"" target=""_blank"">ENSG00000263740</a>",RN7SL4P,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000159596"" target=""_blank"">ENSG00000159596</a>",TMEM69,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162600"" target=""_blank"">ENSG00000162600</a>",OMA1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000154277"" target=""_blank"">ENSG00000154277</a>",UCHL1,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000019102"" target=""_blank"">ENSG00000019102</a>",VSIG2,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000095574"" target=""_blank"">ENSG00000095574</a>",IKZF5,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000205439"" target=""_blank"">ENSG00000205439</a>",KRTAP12-3,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000205497"" target=""_blank"">ENSG00000205497</a>",OR51A4,1.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168124"" target=""_blank"">ENSG00000168124</a>",OR1F1,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000180667"" target=""_blank"">ENSG00000180667</a>",YOD1,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000181234"" target=""_blank"">ENSG00000181234</a>",TMEM132C,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000174944"" target=""_blank"">ENSG00000174944</a>",P2RY14,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000179546"" target=""_blank"">ENSG00000179546</a>",HTR1D,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000222969"" target=""_blank"">ENSG00000222969</a>",RN7SKP8,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000222743"" target=""_blank"">ENSG00000222743</a>",RNU6-1190P,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000177551"" target=""_blank"">ENSG00000177551</a>",NHLH2,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000222404"" target=""_blank"">ENSG00000222404</a>",RN7SKP281,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207073"" target=""_blank"">ENSG00000207073</a>",Y_RNA,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000203855"" target=""_blank"">ENSG00000203855</a>",HSD3BP4,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000204479"" target=""_blank"">ENSG00000204479</a>",PRAMEF17,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206765"" target=""_blank"">ENSG00000206765</a>",RNU6-203P,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206768"" target=""_blank"">ENSG00000206768</a>",Y_RNA,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206780"" target=""_blank"">ENSG00000206780</a>",SNORA75B,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206695"" target=""_blank"">ENSG00000206695</a>",RNU6-442P,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000068650"" target=""_blank"">ENSG00000068650</a>",ATP11A,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000172324"" target=""_blank"">ENSG00000172324</a>",OR5A2,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000170542"" target=""_blank"">ENSG00000170542</a>",SERPINB9,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000122176"" target=""_blank"">ENSG00000122176</a>",FMOD,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000271394"" target=""_blank"">ENSG00000271394</a>",7SK,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000267259"" target=""_blank"">ENSG00000267259</a>",ERVE-1,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000142611"" target=""_blank"">ENSG00000142611</a>",PRDM16,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000272253"" target=""_blank"">ENSG00000272253</a>",RNA5SP386,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000139323"" target=""_blank"">ENSG00000139323</a>",POC1B,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169313"" target=""_blank"">ENSG00000169313</a>",P2RY12,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169031"" target=""_blank"">ENSG00000169031</a>",COL4A3,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168675"" target=""_blank"">ENSG00000168675</a>",LDLRAD4,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000170367"" target=""_blank"">ENSG00000170367</a>",CST5,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164900"" target=""_blank"">ENSG00000164900</a>",GBX1,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164902"" target=""_blank"">ENSG00000164902</a>",PHAX,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169474"" target=""_blank"">ENSG00000169474</a>",SPRR1A,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165238"" target=""_blank"">ENSG00000165238</a>",WNK2,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000177683"" target=""_blank"">ENSG00000177683</a>",THAP5,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000215790"" target=""_blank"">ENSG00000215790</a>",SLC35E2A,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000176893"" target=""_blank"">ENSG00000176893</a>",OR51G2,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000121350"" target=""_blank"">ENSG00000121350</a>",PYROXD1,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000182841"" target=""_blank"">ENSG00000182841</a>",RRP7BP,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000182919"" target=""_blank"">ENSG00000182919</a>",C11orf54,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000183696"" target=""_blank"">ENSG00000183696</a>",UPP1,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000185479"" target=""_blank"">ENSG00000185479</a>",KRT6B,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000186226"" target=""_blank"">ENSG00000186226</a>",LCE1E,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000138759"" target=""_blank"">ENSG00000138759</a>",FRAS1,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000138231"" target=""_blank"">ENSG00000138231</a>",DBR1,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000189143"" target=""_blank"">ENSG00000189143</a>",CLDN4,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000125398"" target=""_blank"">ENSG00000125398</a>",SOX9,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000127083"" target=""_blank"">ENSG00000127083</a>",OMD,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000126773"" target=""_blank"">ENSG00000126773</a>",PCNX4,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000212605"" target=""_blank"">ENSG00000212605</a>",RNU1-56P,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000213199"" target=""_blank"">ENSG00000213199</a>",ASIC3,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000214021"" target=""_blank"">ENSG00000214021</a>",TTLL3,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000213965"" target=""_blank"">ENSG00000213965</a>",NUDT19,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000159212"" target=""_blank"">ENSG00000159212</a>",CLIC6,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207978"" target=""_blank"">ENSG00000207978</a>",MIR154,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000198997"" target=""_blank"">ENSG00000198997</a>",MIR107,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199197"" target=""_blank"">ENSG00000199197</a>",RN7SKP72,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199905"" target=""_blank"">ENSG00000199905</a>",RNU6-492P,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000196248"" target=""_blank"">ENSG00000196248</a>",OR10S1,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000118785"" target=""_blank"">ENSG00000118785</a>",SPP1,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000252950"" target=""_blank"">ENSG00000252950</a>",RNA5SP490,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000251022"" target=""_blank"">ENSG00000251022</a>",THAP9-AS1,1.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164251"" target=""_blank"">ENSG00000164251</a>",F2RL1,1.6
